num,name,addr,publisher,recommend,star,price
111,京都一年：台湾著名作家林文月日本旅居随笔,http://img3m7.ddimg.cn/5/12/29126597-1_l_3.jpg,埃德加・斯诺 著；董乐山 译,100%推荐,289次,¥34.00
112,老神仙系列丛书：四蛇童子（原创性民间故事 文学化民俗传统 帮中国孩子了解传统民间神仙传说故事）,http://img3m0.ddimg.cn/66/2/29116560-1_l_3.jpg,2017-06-01 人民文学出版社,100%推荐,203次,¥36.80
113,书卷多情,http://img3m5.ddimg.cn/11/5/28979885-1_l_2.jpg,冯 唐,99.6%推荐,213次,¥32.40
114,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg,2020-08-01 中国华侨出版社,99.8%推荐,52994次,¥30.00
115,三天一生（法国版《隐蔽的角落》，揭示少年犯罪心理。法国年度悬疑小说！如果那时我作了不同的选择，人生可能完全不同）,http://img3m4.ddimg.cn/1/10/29123524-1_l_3.jpg,原编者  王力 岑麒祥 林焘 等，修订者 蒋绍愚 唐作藩 张万起 等,100%推荐,201次,¥27.20
116,老神仙系列丛书：来自星星的仙儿（原创性民间故事 文学化民俗传统 帮中国孩子了解传统民间神仙传说故事）,http://img3m1.ddimg.cn/97/33/29116591-1_l_3.jpg,2016-04-01 商务印书馆,100%推荐,201次,¥34.00
117,陆游传（中华文人经典传记）,http://img3m6.ddimg.cn/61/20/29123386-1_l_3.jpg,汪开虎,100%推荐,197次,¥36.99
118,新消费时代,http://img3m1.ddimg.cn/38/9/29119601-1_l_6.jpg,2020-01-01 上海交通大学出版社,100%推荐,200次,¥44.70
119,纳兰性德传（中华文人经典传记）,http://img3m5.ddimg.cn/60/19/29123385-1_l_3.jpg,蒙谨,100%推荐,195次,¥37.99
120,李清照传（中华文人经典传记）,http://img3m8.ddimg.cn/63/22/29123388-1_l_3.jpg,2020-08-11 中国友谊出版公司,100%推荐,195次,¥28.08
121,戴高乐将军（全二册）（拥有强大的人格魅力，就连敌人都会追随你！沃尔夫森历史奖得主力作，被评为戴高乐传记的“丰碑”！）,http://img3m1.ddimg.cn/78/31/29121621-1_l_3.jpg,（英）朱利安.杰克逊 著;读客文化 出品,100%推荐,206次,¥99.00
122,中文分级阅读K2 我想养一只鸭子（亲近母语）,http://img3m3.ddimg.cn/38/31/29001593-1_l_2.jpg,2020-09-30 文汇出版社,100%推荐,200次,¥22.90
123,场景化沟通：360度无障碍沟通的艺术（非暴力、高情商沟通的“圣经”，掌握沟通全技巧，拥有超强口才）,http://img3m4.ddimg.cn/45/5/29120004-1_l_3.jpg,陈诗哥，果麦文化 出品,100%推荐,199次,¥16.10
124,唯有相爱可抵岁月漫长,http://img3m4.ddimg.cn/42/12/28980114-1_l_3.jpg,2020-08-01 山东文艺出版社,100%推荐,200次,¥12.99
125,小小的家也不错：日本小住宅空间设计与收纳,http://img3m5.ddimg.cn/68/36/28990535-1_l_3.jpg,365天沟通力训练营专家组,100%推荐,199次,¥33.70
126,屈原传（中华文人经典传记）,http://img3m7.ddimg.cn/62/21/29123387-1_l_3.jpg,2020-08-31 北方文艺出版社,100%推荐,192次,¥29.00
127,中华人民共和国民法典（实用版）2020年6月新版 团购电话：4001066666转6,http://img3m5.ddimg.cn/62/30/28558295-1_l_1.jpg,简�o 著，磨铁图书 出品,99.9%推荐,610次,¥28.40
128,夏洛的网（新）,http://img3m6.ddimg.cn/7/21/23546266-1_l_9.jpg,2020-07-01 中国友谊出版公司,100%推荐,21576次,¥29.20
129,未竟的告白（100%作者亲笔签名版+赠3张印签告白卡）,http://img3m0.ddimg.cn/40/11/29115940-1_l_7.jpg,（日）柳本茜  著,100%推荐,196次,¥13.00
130,牛津高阶英汉双解词典（第9版）,http://img3m8.ddimg.cn/72/29/25294968-1_l_2.jpg,2020-08-01 化学工业出版社,100%推荐,3630次,¥9.99
131,高效学习法：名校学霸教你把学习变得轻而易举（常青藤+清华学霸教你不管学习还是考证，都可轻松通关！）,http://img3m8.ddimg.cn/68/31/29120918-1_l_3.jpg,杨雨,100%推荐,193次,¥27.50
