name,picture,num,star,director,introduction
让子弹飞 / 让子弹飞一会儿  /  火烧云,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,64,8.8,姜文 Wen Jiang,你给我翻译翻译，神马叫做TMD的惊喜。
本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,65,8.9,大卫·芬奇 David Fincher,在时间之河里感受溺水之苦。
绿皮书 / Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,66,8.9,彼得·法雷里 Peter Farrelly,去除成见，需要勇气。
看不见的客人 / Contratiempo / 死无对证(港)  /  布局(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,67,8.8,奥里奥尔·保罗 Oriol Paulo,你以为你以为的就是你以为的。
西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2448029416.jpg,68,8.9,朱塞佩·托纳多雷 Giuseppe Tornatore,美丽无罪。
海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,69,9.2,阿兰·葛斯彭纳 Alain Gsponer,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,70,9.0,史蒂文·斯皮尔伯格 Steven Spielberg,美利坚精神输出大片No1.
小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,71,9.2,马基德·马基迪 Majid Majidi,奔跑的孩子是天使。
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,72,9.1,马克·赫尔曼 Mark Herman,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书 / Love Letter / When I Close My Eyes  /  Letters of Love,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,73,8.9,岩井俊二 Shunji Iwai,暗恋的极致。
海豚湾 / The Cove / 血色海湾(台)  /  海湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,74,9.3,路易·西霍尤斯 Louie Psihoyos,海豚的微笑，是世界上最高明的伪装。
音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,75,9.0,罗伯特·怀斯 Robert Wise,用音乐化解仇恨，让歌声串起美好。
美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,76,9.2,赛尔乔·莱翁内 Sergio Leone,往事如烟，无处祭奠。
致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,77,8.9,克里斯托弗·诺兰 Christopher Nolan,孪生蝙蝠侠大战克隆金刚狼。
低俗小说 / Pulp Fiction / 危险人物(港)  /  黑色追缉令(台),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,78,8.9,昆汀·塔伦蒂诺 Quentin Tarantino,故事的高级讲法。
沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,79,8.8,乔纳森·戴米 Jonathan Demme,安东尼·霍普金斯的顶级表演。
